Rk,Wk,Date,Time,Day,Winner,Pts_winner,X8,Loser,Pts_loser,Notes
223,4,2019-09-14,NA,Sat,Virginia Tech,24,NA,Furman,17,Lane Stadium - Blacksburg Virginia
224,4,2019-09-14,NA,Sat,Washington,52,NA,Hawaii,20,Husky Stadium - Seattle Washington
225,4,2019-09-14,NA,Sat,West Virginia,44,NA,North Carolina State,27,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
226,4,2019-09-14,NA,Sat,Western Michigan,57,NA,Georgia State,10,Waldo Stadium - Kalamazoo Michigan
227,4,2019-09-14,NA,Sat,Wyoming,21,NA,Idaho,16,Jonah Field War Memorial Stadium - Laramie Wyoming
228,5,2019-09-19,NA,Thu,Tulane,38,NA,Houston,31,Yulman Stadium - New Orleans Louisiana
229,5,2019-09-20,NA,Fri,Boise State,30,NA,Air Force,19,Albertsons Stadium - Boise Idaho
230,5,2019-09-20,NA,Fri,Louisiana Tech,43,NA,Florida International,31,Joe Aillet Stadium - Ruston Louisiana
231,5,2019-09-20,NA,Fri,Southern California,30,NA,Utah,23,Los Angeles Memorial Coliseum - Los Angeles California
232,5,2019-09-21,NA,Sat,Alabama,49,NA,Southern Mississippi,7,Bryant-Denny Stadium - Tuscaloosa Alabama
233,5,2019-09-21,NA,Sat,Alabama-Birmingham,35,NA,South Alabama,3,Legion Field - Birmingham Alabama
234,5,2019-09-21,NA,Sat,Appalachian State,34,@,North Carolina,31,Kenan Memorial Stadium - Chapel Hill North Carolina
235,5,2019-09-21,NA,Sat,Arkansas State,41,NA,Southern Illinois,28,Centennial Bank Stadium - Jonesboro Arkansas
236,5,2019-09-21,NA,Sat,Army,52,NA,Morgan State,21,Michie Stadium - West Point New York
237,5,2019-09-21,NA,Sat,Auburn,28,@,Texas A&M,20,Kyle Field - College Station Texas
238,5,2019-09-21,NA,Sat,Baylor,21,@,Rice,13,Rice Stadium - Houston Texas
239,5,2019-09-21,NA,Sat,Boston College,30,@,Rutgers,16,SHI Stadium - Piscataway New Jersey
240,5,2019-09-21,NA,Sat,Buffalo,38,NA,Temple,22,UB Stadium - Buffalo New York
241,5,2019-09-21,NA,Sat,California,28,@,Mississippi,20,Vaught-Hemingway Stadium - Oxford Mississippi
242,5,2019-09-21,NA,Sat,Clemson,52,NA,Charlotte,10,Clemson Memorial Stadium - Clemson South Carolina
243,5,2019-09-21,NA,Sat,Coastal Carolina,62,@,Massachusetts,28,Warren McGuirk Alumni Stadium - Amherst Massachusetts
244,5,2019-09-21,NA,Sat,Colorado,34,@,Arizona State,31,Sun Devil Stadium - Tempe Arizona
245,5,2019-09-21,NA,Sat,East Carolina,19,NA,William & Mary,7,Dowdy-Ficklen Stadium - Greenville North Carolina
246,5,2019-09-21,NA,Sat,Eastern Michigan,34,NA,Central Connecticut State,29,Rynearson Stadium - Ypsilanti Michigan
247,5,2019-09-21,NA,Sat,Florida,34,NA,Tennessee,3,Ben Hill Griffin Stadium - Gainesville Florida
248,5,2019-09-21,NA,Sat,Florida Atlantic,42,NA,Wagner,7,FAU Football Stadium - Boca Raton Florida
249,5,2019-09-21,NA,Sat,Florida State,35,NA,Louisville,24,Doak Campbell Stadium - Tallahassee Florida
250,5,2019-09-21,NA,Sat,Fresno State,34,NA,Sacramento State,20,Bulldog Stadium - Fresno California
251,5,2019-09-21,NA,Sat,Georgia,23,NA,Notre Dame,17,Sanford Stadium - Athens Georgia
252,5,2019-09-21,NA,Sat,Hawaii,35,NA,Central Arkansas,16,Aloha Stadium - Honolulu Hawaii
253,5,2019-09-21,NA,Sat,Indiana,38,NA,Connecticut,3,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
254,5,2019-09-21,NA,Sat,Iowa State,72,NA,Louisiana-Monroe,20,Jack Trice Stadium - Ames Iowa
255,5,2019-09-21,NA,Sat,Kent State,62,NA,Bowling Green State,20,Dix Stadium - Kent Ohio
256,5,2019-09-21,NA,Sat,Liberty,62,NA,Hampton,27,Williams Stadium - Lynchburg Virginia
257,5,2019-09-21,NA,Sat,Louisiana,45,@,Ohio,25,Peden Stadium - Athens Ohio
258,5,2019-09-21,NA,Sat,Louisiana State,66,@,Vanderbilt,38,Vanderbilt Stadium - Nashville Tennessee
259,5,2019-09-21,NA,Sat,Miami (FL),17,NA,Central Michigan,12,Hard Rock Stadium - Miami Gardens Florida
260,5,2019-09-21,NA,Sat,Michigan State,31,@,Northwestern,10,Ryan Field - Evanston Illinois
261,5,2019-09-21,NA,Sat,Mississippi State,28,NA,Kentucky,13,Davis Wade Stadium - Starkville Mississippi
262,5,2019-09-21,NA,Sat,Missouri,34,NA,South Carolina,14,Memorial Stadium/Faurot Field - Columbia Missouri
263,5,2019-09-21,NA,Sat,Nebraska,42,@,Illinois,38,Memorial Stadium - Champaign Illinois
264,5,2019-09-21,NA,Sat,Nevada,37,@,Texas-El Paso,21,Sun Bowl - El Paso Texas
265,5,2019-09-21,NA,Sat,New Mexico,55,NA,New Mexico State,52,Dreamstyle Stadium - Albuquerque New Mexico
266,5,2019-09-21,NA,Sat,North Carolina State,34,NA,Ball State,23,Carter-Finley Stadium - Raleigh North Carolina
267,5,2019-09-21,NA,Sat,North Texas,45,NA,Texas-San Antonio,3,Apogee Stadium - Denton Texas
268,5,2019-09-21,NA,Sat,Ohio State,76,NA,Miami (OH),5,Ohio Stadium - Columbus Ohio
269,5,2019-09-21,NA,Sat,Oregon,21,@,Stanford,6,Stanford Stadium - Stanford California
270,5,2019-09-21,NA,Sat,Pittsburgh,35,NA,Central Florida,34,Heinz Field - Pittsburgh Pennsylvania
271,5,2019-09-21,NA,Sat,San Jose State,31,@,Arkansas,24,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
272,5,2019-09-21,NA,Sat,Southern Methodist,41,@,Texas Christian,38,Amon G. Carter Stadium - Fort Worth Texas
273,5,2019-09-21,NA,Sat,Syracuse,52,NA,Western Michigan,33,Carrier Dome - Syracuse New York
274,5,2019-09-21,NA,Sat,Texas,36,NA,Oklahoma State,30,Darrell K Royal-Texas Memorial Stadium - Austin Texas
275,5,2019-09-21,NA,Sat,Texas State,37,NA,Georgia State,34,Bobcat Stadium - San Marcos Texas
276,5,2019-09-21,NA,Sat,Toledo,41,@,Colorado State,35,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
277,5,2019-09-21,NA,Sat,Troy,35,@,Akron,7,InfoCision Stadium - Akron Ohio
278,5,2019-09-21,NA,Sat,Tulsa,24,NA,Wyoming,21,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
279,5,2019-09-21,NA,Sat,UCLA,67,@,Washington State,63,Martin Stadium - Pullman Washington
280,5,2019-09-21,NA,Sat,Utah State,23,@,San Diego State,17,SDCCU Stadium - San Diego California
281,5,2019-09-21,NA,Sat,Virginia,28,NA,Old Dominion,17,Scott Stadium - Charlottesville Virginia
282,5,2019-09-21,NA,Sat,Wake Forest,49,NA,Elon,7,BB&T Field - Winston-Salem North Carolina
283,5,2019-09-21,NA,Sat,Washington,45,@,Brigham Young,19,LaVell Edwards Stadium - Provo Utah
284,5,2019-09-21,NA,Sat,West Virginia,29,@,Kansas,24,David Booth Kansas Memorial Stadium - Lawrence Kansas
285,5,2019-09-21,NA,Sat,Wisconsin,35,NA,Michigan,14,Camp Randall Stadium - Madison Wisconsin
286,6,2019-09-26,NA,Thu,Memphis,35,NA,Navy,23,Liberty Bowl Memorial Stadium - Memphis Tennessee
287,6,2019-09-27,NA,Fri,Air Force,41,NA,San Jose State,24,Falcon Stadium - Colorado Springs Colorado
288,6,2019-09-27,NA,Fri,Arizona State,24,@,California,17,California Memorial Stadium - Berkeley California
289,6,2019-09-27,NA,Fri,Duke,45,@,Virginia Tech,10,Lane Stadium - Blacksburg Virginia
290,6,2019-09-27,NA,Fri,Penn State,59,@,Maryland,0,Capital One Field at Maryland Stadium - College Park Maryland
291,6,2019-09-28,NA,Sat,Alabama,59,NA,Mississippi,31,Bryant-Denny Stadium - Tuscaloosa Alabama
292,6,2019-09-28,NA,Sat,Appalachian State,56,NA,Coastal Carolina,37,Kidd Brewer Stadium - Boone North Carolina
293,6,2019-09-28,NA,Sat,Arizona,20,NA,UCLA,17,Arizona Stadium - Tucson Arizona
294,6,2019-09-28,NA,Sat,Arkansas State,50,@,Troy,43,Veterans Memorial Stadium - Troy Alabama
295,6,2019-09-28,NA,Sat,Auburn,56,NA,Mississippi State,23,Jordan-Hare Stadium - Auburn Alabama
296,6,2019-09-28,NA,Sat,Baylor,23,NA,Iowa State,21,McLane Stadium - Waco Texas
297,6,2019-09-28,NA,Sat,Central Florida,56,NA,Connecticut,21,Spectrum Stadium - Orlando Florida
298,6,2019-09-28,NA,Sat,Cincinnati,52,@,Marshall,14,Joan C. Edwards Stadium - Huntington West Virginia
299,6,2019-09-28,NA,Sat,Clemson,21,@,North Carolina,20,Kenan Memorial Stadium - Chapel Hill North Carolina
300,6,2019-09-28,NA,Sat,East Carolina,24,@,Old Dominion,21,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
301,6,2019-09-28,NA,Sat,Florida,38,NA,Towson,0,Ben Hill Griffin Stadium - Gainesville Florida
302,6,2019-09-28,NA,Sat,Florida Atlantic,45,@,Charlotte,27,Jerry Richardson Stadium - Charlotte North Carolina
303,6,2019-09-28,NA,Sat,Florida State,31,NA,North Carolina State,13,Doak Campbell Stadium - Tallahassee Florida
304,6,2019-09-28,NA,Sat,Fresno State,30,@,New Mexico State,17,Aggie Memorial Stadium - Las Cruces New Mexico
305,6,2019-09-28,NA,Sat,Hawaii,54,@,Nevada,3,MacKay Stadium - Reno Nevada
306,6,2019-09-28,NA,Sat,Houston,46,@,North Texas,25,Apogee Stadium - Denton Texas
307,6,2019-09-28,NA,Sat,Iowa,48,NA,Middle Tennessee State,3,Kinnick Stadium - Iowa City Iowa
308,6,2019-09-28,NA,Sat,Liberty,17,NA,New Mexico,10,Williams Stadium - Lynchburg Virginia
309,6,2019-09-28,NA,Sat,Louisiana,37,@,Georgia Southern,24,Allen E. Paulson Stadium - Statesboro Georgia
310,6,2019-09-28,NA,Sat,Louisiana Tech,23,@,Rice,20,Rice Stadium - Houston Texas
311,6,2019-09-28,NA,Sat,Louisiana-Monroe,30,NA,South Alabama,17,Malone Stadium - Monroe Louisiana
312,6,2019-09-28,NA,Sat,Massachusetts,37,NA,Akron,29,Warren McGuirk Alumni Stadium - Amherst Massachusetts
313,6,2019-09-28,NA,Sat,Miami (OH),34,NA,Buffalo,20,Fred Yager Stadium - Oxford Ohio
314,6,2019-09-28,NA,Sat,Michigan,52,NA,Rutgers,0,Michigan Stadium - Ann Arbor Michigan
315,6,2019-09-28,NA,Sat,Michigan State,40,NA,Indiana,31,Spartan Stadium - East Lansing Michigan
316,6,2019-09-28,NA,Sat,Minnesota,38,@,Purdue,31,Ross-Ade Stadium - West Lafayette Indiana
317,6,2019-09-28,NA,Sat,Notre Dame,35,NA,Virginia,20,Notre Dame Stadium - South Bend Indiana
318,6,2019-09-28,NA,Sat,Ohio State,48,@,Nebraska,7,Memorial Stadium - Lincoln Nebraska
319,6,2019-09-28,NA,Sat,Oklahoma,55,NA,Texas Tech,16,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
320,6,2019-09-28,NA,Sat,Oklahoma State,26,NA,Kansas State,13,Boone Pickens Stadium - Stillwater Oklahoma
321,6,2019-09-28,NA,Sat,Pittsburgh,17,NA,Delaware,14,Heinz Field - Pittsburgh Pennsylvania
322,6,2019-09-28,NA,Sat,South Carolina,24,NA,Kentucky,7,Williams-Brice Stadium - Columbia South Carolina
323,6,2019-09-28,NA,Sat,Southern Methodist,48,@,South Florida,21,Raymond James Stadium - Tampa Florida
324,6,2019-09-28,NA,Sat,Southern Mississippi,31,NA,Texas-El Paso,13,M. M. Roberts Stadium - Hattiesburg Mississippi
325,6,2019-09-28,NA,Sat,Stanford,31,@,Oregon State,28,Reser Stadium - Corvallis Oregon
326,6,2019-09-28,NA,Sat,Syracuse,41,NA,Holy Cross,3,Carrier Dome - Syracuse New York
327,6,2019-09-28,NA,Sat,Temple,24,NA,Georgia Tech,2,Lincoln Financial Field - Philadelphia Pennsylvania
328,6,2019-09-28,NA,Sat,Texas A&M,31,N,Arkansas,27,AT&T Stadium - Arlington Texas
329,6,2019-09-28,NA,Sat,Texas Christian,51,NA,Kansas,14,Amon G. Carter Stadium - Fort Worth Texas
330,6,2019-09-28,NA,Sat,Texas State,24,NA,Nicholls State,3,Bobcat Stadium - San Marcos Texas
331,6,2019-09-28,NA,Sat,Toledo,28,NA,Brigham Young,21,Glass Bowl - Toledo Ohio
332,6,2019-09-28,NA,Sat,Utah,38,NA,Washington State,13,Rice-Eccles Stadium - Salt Lake City Utah
333,6,2019-09-28,NA,Sat,Utah State,34,NA,Colorado State,24,Merlin Olsen Field at Maverik Stadium - Logan Utah
334,6,2019-09-28,NA,Sat,Vanderbilt,24,NA,Northern Illinois,18,Vanderbilt Stadium - Nashville Tennessee
335,6,2019-09-28,NA,Sat,Wake Forest,27,@,Boston College,24,Alumni Stadium - Chestnut Hill Massachusetts
336,6,2019-09-28,NA,Sat,Washington,28,NA,Southern California,14,Husky Stadium - Seattle Washington
337,6,2019-09-28,NA,Sat,Western Kentucky,20,NA,Alabama-Birmingham,13,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
338,6,2019-09-28,NA,Sat,Western Michigan,31,NA,Central Michigan,15,Waldo Stadium - Kalamazoo Michigan
339,6,2019-09-28,NA,Sat,Wisconsin,24,NA,Northwestern,15,Camp Randall Stadium - Madison Wisconsin
340,6,2019-09-28,NA,Sat,Wyoming,53,NA,Nevada-Las Vegas,17,Jonah Field War Memorial Stadium - Laramie Wyoming
341,7,2019-10-03,NA,Thu,Georgia Southern,20,@,South Alabama,17,Ladd-Peebles Stadium - Mobile Alabama
342,7,2019-10-03,NA,Thu,Temple,27,@,East Carolina,17,Dowdy-Ficklen Stadium - Greenville North Carolina
343,7,2019-10-04,NA,Fri,Cincinnati,27,NA,Central Florida,24,Nippert Stadium - Cincinnati Ohio
344,7,2019-10-04,NA,Fri,San Jose State,32,NA,New Mexico,21,CEFCU Stadium - San Jose California
345,7,2019-10-05,NA,Sat,Alabama-Birmingham,35,NA,Rice,20,Legion Field - Birmingham Alabama
346,7,2019-10-05,NA,Sat,Arizona,35,@,Colorado,30,Folsom Field - Boulder Colorado
347,7,2019-10-05,NA,Sat,Ball State,27,@,Northern Illinois,20,Huskie Stadium - DeKalb Illinois
348,7,2019-10-05,NA,Sat,Baylor,31,@,Kansas State,12,Bill Snyder Family Stadium - Manhattan Kansas
349,7,2019-10-05,NA,Sat,Boise State,38,@,Nevada-Las Vegas,13,Sam Boyd Stadium - Las Vegas Nevada
350,7,2019-10-05,NA,Sat,Central Michigan,42,NA,Eastern Michigan,16,Kelly/Shorts Stadium - Mount Pleasant Michigan
351,7,2019-10-05,NA,Sat,Florida,24,NA,Auburn,13,Ben Hill Griffin Stadium - Gainesville Florida
352,7,2019-10-05,NA,Sat,Florida International,44,NA,Massachusetts,0,Riccardo Silva Stadium - Miami Florida
353,7,2019-10-05,NA,Sat,Georgia,43,@,Tennessee,14,Neyland Stadium - Knoxville Tennessee
354,7,2019-10-05,NA,Sat,Georgia State,52,NA,Arkansas State,38,Georgia State Stadium - Atlanta Georgia
355,7,2019-10-05,NA,Sat,Iowa State,49,NA,Texas Christian,24,Jack Trice Stadium - Ames Iowa
356,7,2019-10-05,NA,Sat,Liberty,20,@,New Mexico State,13,Aggie Memorial Stadium - Las Cruces New Mexico
357,7,2019-10-05,NA,Sat,Louisiana State,42,NA,Utah State,6,Tiger Stadium - Baton Rouge Louisiana
358,7,2019-10-05,NA,Sat,Louisville,41,NA,Boston College,39,Cardinal Stadium - Louisville Kentucky
359,7,2019-10-05,NA,Sat,Maryland,48,@,Rutgers,7,SHI Stadium - Piscataway New Jersey
360,7,2019-10-05,NA,Sat,Memphis,52,@,Louisiana-Monroe,33,Malone Stadium - Monroe Louisiana
361,7,2019-10-05,NA,Sat,Michigan,10,NA,Iowa,3,Michigan Stadium - Ann Arbor Michigan
362,7,2019-10-05,NA,Sat,Middle Tennessee State,24,NA,Marshall,13,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
363,7,2019-10-05,NA,Sat,Minnesota,40,NA,Illinois,17,TCF Bank Stadium - Minneapolis Minnesota
364,7,2019-10-05,NA,Sat,Mississippi,31,NA,Vanderbilt,6,Vaught-Hemingway Stadium - Oxford Mississippi
365,7,2019-10-05,NA,Sat,Missouri,42,NA,Troy,10,Memorial Stadium/Faurot Field - Columbia Missouri
366,7,2019-10-05,NA,Sat,Navy,34,NA,Air Force,25,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
367,7,2019-10-05,NA,Sat,Nebraska,13,NA,Northwestern,10,Memorial Stadium - Lincoln Nebraska
368,7,2019-10-05,NA,Sat,North Carolina,38,@,Georgia Tech,22,Bobby Dodd Stadium - Atlanta Georgia
369,7,2019-10-05,NA,Sat,Notre Dame,52,NA,Bowling Green State,0,Notre Dame Stadium - South Bend Indiana
370,7,2019-10-05,NA,Sat,Ohio,21,@,Buffalo,20,UB Stadium - Buffalo New York
371,7,2019-10-05,NA,Sat,Ohio State,34,NA,Michigan State,10,Ohio Stadium - Columbus Ohio
372,7,2019-10-05,NA,Sat,Oklahoma,45,@,Kansas,20,David Booth Kansas Memorial Stadium - Lawrence Kansas
373,7,2019-10-05,NA,Sat,Oregon,17,NA,California,7,Autzen Stadium - Eugene Oregon
374,7,2019-10-05,NA,Sat,Oregon State,48,@,UCLA,31,Rose Bowl - Pasadena California
375,7,2019-10-05,NA,Sat,Penn State,35,NA,Purdue,7,Beaver Stadium - University Park Pennsylvania
376,7,2019-10-05,NA,Sat,Pittsburgh,33,@,Duke,30,Wallace Wade Stadium - Durham North Carolina
377,7,2019-10-05,NA,Sat,San Diego State,24,@,Colorado State,10,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
378,7,2019-10-05,NA,Sat,South Florida,48,@,Connecticut,22,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
379,7,2019-10-05,NA,Sat,Southern Methodist,43,NA,Tulsa,37,Gerald J. Ford Stadium - Dallas Texas
380,7,2019-10-05,NA,Sat,Stanford,23,NA,Washington,13,Stanford Stadium - Stanford California
381,7,2019-10-05,NA,Sat,Texas,42,@,West Virginia,31,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
382,7,2019-10-05,NA,Sat,Texas Tech,45,NA,Oklahoma State,35,Jones AT&T Stadium - Lubbock Texas
383,7,2019-10-05,NA,Sat,Texas-San Antonio,26,@,Texas-El Paso,16,Sun Bowl - El Paso Texas
384,7,2019-10-05,NA,Sat,Toledo,31,NA,Western Michigan,24,Glass Bowl - Toledo Ohio
385,7,2019-10-05,NA,Sat,Tulane,42,@,Army,33,Michie Stadium - West Point New York
386,7,2019-10-05,NA,Sat,Virginia Tech,42,@,Miami (FL),35,Hard Rock Stadium - Miami Gardens Florida
387,7,2019-10-05,NA,Sat,Western Kentucky,20,@,Old Dominion,3,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
388,7,2019-10-05,NA,Sat,Wisconsin,48,NA,Kent State,0,Camp Randall Stadium - Madison Wisconsin
389,8,2019-10-09,NA,Wed,Appalachian State,17,@,Louisiana,7,Cajun Field - Lafayette Louisiana
390,8,2019-10-10,NA,Thu,Louisiana-Monroe,24,@,Texas State,14,Bobcat Stadium - San Marcos Texas
391,8,2019-10-10,NA,Thu,North Carolina State,16,NA,Syracuse,10,Carter-Finley Stadium - Raleigh North Carolina
392,8,2019-10-11,NA,Fri,Colorado State,35,@,New Mexico,21,Dreamstyle Stadium - Albuquerque New Mexico
393,8,2019-10-11,NA,Fri,Miami (FL),17,NA,Virginia,9,Hard Rock Stadium - Miami Gardens Florida
394,8,2019-10-11,NA,Fri,Oregon,45,NA,Colorado,3,Autzen Stadium - Eugene Oregon
395,8,2019-10-12,NA,Sat,Air Force,43,NA,Fresno State,24,Falcon Stadium - Colorado Springs Colorado
396,8,2019-10-12,NA,Sat,Alabama,47,@,Texas A&M,28,Kyle Field - College Station Texas
397,8,2019-10-12,NA,Sat,Alabama-Birmingham,33,@,Texas-San Antonio,14,Alamodome - San Antonio Texas
398,8,2019-10-12,NA,Sat,Arizona State,38,NA,Washington State,34,Sun Devil Stadium - Tempe Arizona
399,8,2019-10-12,NA,Sat,Ball State,29,@,Eastern Michigan,23,Rynearson Stadium - Ypsilanti Michigan
400,8,2019-10-12,NA,Sat,Baylor,33,NA,Texas Tech,30,McLane Stadium - Waco Texas
401,8,2019-10-12,NA,Sat,Boise State,59,NA,Hawaii,37,Albertsons Stadium - Boise Idaho
402,8,2019-10-12,NA,Sat,Bowling Green State,20,NA,Toledo,7,Doyt Perry Stadium - Bowling Green Ohio
403,8,2019-10-12,NA,Sat,Central Michigan,42,NA,New Mexico State,28,Kelly/Shorts Stadium - Mount Pleasant Michigan
404,8,2019-10-12,NA,Sat,Cincinnati,38,@,Houston,23,TDECU Stadium - Houston Texas
405,8,2019-10-12,NA,Sat,Clemson,45,NA,Florida State,14,Clemson Memorial Stadium - Clemson South Carolina
406,8,2019-10-12,NA,Sat,Duke,41,NA,Georgia Tech,23,Wallace Wade Stadium - Durham North Carolina
407,8,2019-10-12,NA,Sat,Florida Atlantic,28,NA,Middle Tennessee State,13,FAU Football Stadium - Boca Raton Florida
408,8,2019-10-12,NA,Sat,Florida International,48,NA,Charlotte,23,Riccardo Silva Stadium - Miami Florida
409,8,2019-10-12,NA,Sat,Georgia State,31,@,Coastal Carolina,21,Brooks Stadium - Conway South Carolina
410,8,2019-10-12,NA,Sat,Indiana,35,NA,Rutgers,0,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
411,8,2019-10-12,NA,Sat,Iowa State,38,@,West Virginia,14,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
412,8,2019-10-12,NA,Sat,Kent State,26,@,Akron,3,InfoCision Stadium - Akron Ohio
413,8,2019-10-12,NA,Sat,Kentucky,24,NA,Arkansas,20,Kroger Field - Lexington Kentucky
414,8,2019-10-12,NA,Sat,Louisiana State,42,NA,Florida,28,Tiger Stadium - Baton Rouge Louisiana
415,8,2019-10-12,NA,Sat,Louisiana Tech,69,NA,Massachusetts,21,Joe Aillet Stadium - Ruston Louisiana
416,8,2019-10-12,NA,Sat,Louisville,62,@,Wake Forest,59,BB&T Field - Winston-Salem North Carolina
417,8,2019-10-12,NA,Sat,Marshall,31,NA,Old Dominion,17,Joan C. Edwards Stadium - Huntington West Virginia
418,8,2019-10-12,NA,Sat,Michigan,42,@,Illinois,25,Memorial Stadium - Champaign Illinois
419,8,2019-10-12,NA,Sat,Minnesota,34,NA,Nebraska,7,TCF Bank Stadium - Minneapolis Minnesota
420,8,2019-10-12,NA,Sat,Missouri,38,NA,Mississippi,27,Memorial Stadium/Faurot Field - Columbia Missouri
421,8,2019-10-12,NA,Sat,Navy,45,@,Tulsa,17,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
422,8,2019-10-12,NA,Sat,Nevada,41,NA,San Jose State,38,MacKay Stadium - Reno Nevada
423,8,2019-10-12,NA,Sat,Nevada-Las Vegas,34,@,Vanderbilt,10,Vanderbilt Stadium - Nashville Tennessee
424,8,2019-10-12,NA,Sat,Northern Illinois,39,@,Ohio,36,Peden Stadium - Athens Ohio
425,8,2019-10-12,NA,Sat,Notre Dame,30,NA,Southern California,27,Notre Dame Stadium - South Bend Indiana
426,8,2019-10-12,NA,Sat,Oklahoma,34,N,Texas,27,Cotton Bowl - Dallas Texas
427,8,2019-10-12,NA,Sat,Penn State,17,@,Iowa,12,Kinnick Stadium - Iowa City Iowa
428,8,2019-10-12,NA,Sat,Purdue,40,NA,Maryland,14,Ross-Ade Stadium - West Lafayette Indiana
429,8,2019-10-12,NA,Sat,San Diego State,26,NA,Wyoming,22,SDCCU Stadium - San Diego California
430,8,2019-10-12,NA,Sat,South Carolina,20,@,Georgia,17,Sanford Stadium - Athens Georgia
431,8,2019-10-12,NA,Sat,South Florida,27,NA,Brigham Young,23,Raymond James Stadium - Tampa Florida
432,8,2019-10-12,NA,Sat,Southern Mississippi,45,NA,North Texas,27,M. M. Roberts Stadium - Hattiesburg Mississippi
433,8,2019-10-12,NA,Sat,Temple,30,NA,Memphis,28,Lincoln Financial Field - Philadelphia Pennsylvania
434,8,2019-10-12,NA,Sat,Tennessee,20,NA,Mississippi State,10,Neyland Stadium - Knoxville Tennessee
435,8,2019-10-12,NA,Sat,Tulane,49,NA,Connecticut,7,Yulman Stadium - New Orleans Louisiana
436,8,2019-10-12,NA,Sat,Utah,52,@,Oregon State,7,Reser Stadium - Corvallis Oregon
437,8,2019-10-12,NA,Sat,Virginia Tech,34,NA,Rhode Island,17,Lane Stadium - Blacksburg Virginia
438,8,2019-10-12,NA,Sat,Washington,51,@,Arizona,27,Arizona Stadium - Tucson Arizona
439,8,2019-10-12,NA,Sat,Western Kentucky,17,NA,Army,8,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
440,8,2019-10-12,NA,Sat,Western Michigan,38,NA,Miami (OH),16,Waldo Stadium - Kalamazoo Michigan
441,8,2019-10-12,NA,Sat,Wisconsin,38,NA,Michigan State,0,Camp Randall Stadium - Madison Wisconsin
442,9,2019-10-16,NA,Wed,Troy,37,NA,South Alabama,13,Veterans Memorial Stadium - Troy Alabama
443,9,2019-10-17,NA,Thu,Louisiana,37,@,Arkansas State,20,Centennial Bank Stadium - Jonesboro Arkansas
444,9,2019-10-17,NA,Thu,UCLA,34,@,Stanford,16,Stanford Stadium - Stanford California
445,9,2019-10-18,NA,Fri,Fresno State,56,NA,Nevada-Las Vegas,27,Bulldog Stadium - Fresno California
446,9,2019-10-18,NA,Fri,Marshall,36,@,Florida Atlantic,31,FAU Football Stadium - Boca Raton Florida
447,9,2019-10-18,NA,Fri,Ohio State,52,@,Northwestern,3,Ryan Field - Evanston Illinois
