Rk,Wk,Date,Time,Day,Winner,Pts_winner,X8,Loser,Pts_loser,Notes
670,13,2019-11-16,NA,Sat,Brigham Young,42,NA,Idaho State,10,LaVell Edwards Stadium - Provo Utah
671,13,2019-11-16,NA,Sat,Central Michigan,45,@,Ball State,44,Scheumann Stadium - Muncie Indiana
672,13,2019-11-16,NA,Sat,Cincinnati,20,@,South Florida,17,Raymond James Stadium - Tampa Florida
673,13,2019-11-16,NA,Sat,Clemson,52,NA,Wake Forest,3,Clemson Memorial Stadium - Clemson South Carolina
674,13,2019-11-16,NA,Sat,Florida,23,@,Missouri,6,Memorial Stadium/Faurot Field - Columbia Missouri
675,13,2019-11-16,NA,Sat,Florida State,49,NA,Alabama State,12,Doak Campbell Stadium - Tallahassee Florida
676,13,2019-11-16,NA,Sat,Georgia,21,@,Auburn,14,Jordan-Hare Stadium - Auburn Alabama
677,13,2019-11-16,NA,Sat,Georgia Southern,51,NA,Louisiana-Monroe,29,Allen E. Paulson Stadium - Statesboro Georgia
678,13,2019-11-16,NA,Sat,Hawaii,21,@,Nevada-Las Vegas,7,Sam Boyd Stadium - Las Vegas Nevada
679,13,2019-11-16,NA,Sat,Iowa,23,NA,Minnesota,19,Kinnick Stadium - Iowa City Iowa
680,13,2019-11-16,NA,Sat,Iowa State,23,NA,Texas,21,Jack Trice Stadium - Ames Iowa
681,13,2019-11-16,NA,Sat,Kentucky,38,@,Vanderbilt,14,Vanderbilt Stadium - Nashville Tennessee
682,13,2019-11-16,NA,Sat,Louisiana,37,@,South Alabama,27,Ladd-Peebles Stadium - Mobile Alabama
683,13,2019-11-16,NA,Sat,Louisiana State,58,@,Mississippi,37,Vaught-Hemingway Stadium - Oxford Mississippi
684,13,2019-11-16,NA,Sat,Louisville,34,@,North Carolina State,20,Carter-Finley Stadium - Raleigh North Carolina
685,13,2019-11-16,NA,Sat,Memphis,45,@,Houston,27,TDECU Stadium - Houston Texas
686,13,2019-11-16,NA,Sat,Michigan,44,NA,Michigan State,10,Michigan Stadium - Ann Arbor Michigan
687,13,2019-11-16,NA,Sat,New Mexico State,41,NA,Incarnate Word,28,Aggie Memorial Stadium - Las Cruces New Mexico
688,13,2019-11-16,NA,Sat,Northwestern,45,NA,Massachusetts,6,Ryan Field - Evanston Illinois
689,13,2019-11-16,NA,Sat,Notre Dame,52,NA,Navy,20,Notre Dame Stadium - South Bend Indiana
690,13,2019-11-16,NA,Sat,Ohio State,56,@,Rutgers,21,SHI Stadium - Piscataway New Jersey
691,13,2019-11-16,NA,Sat,Oklahoma,34,@,Baylor,31,McLane Stadium - Waco Texas
692,13,2019-11-16,NA,Sat,Oklahoma State,31,NA,Kansas,13,Boone Pickens Stadium - Stillwater Oklahoma
693,13,2019-11-16,NA,Sat,Oregon,34,NA,Arizona,6,Autzen Stadium - Eugene Oregon
694,13,2019-11-16,NA,Sat,Oregon State,35,NA,Arizona State,34,Reser Stadium - Corvallis Oregon
695,13,2019-11-16,NA,Sat,Penn State,34,NA,Indiana,27,Beaver Stadium - University Park Pennsylvania
696,13,2019-11-16,NA,Sat,Rice,31,@,Middle Tennessee State,28,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
697,13,2019-11-16,NA,Sat,Southern California,41,@,California,17,California Memorial Stadium - Berkeley California
698,13,2019-11-16,NA,Sat,Southern Mississippi,36,@,Texas-San Antonio,17,Alamodome - San Antonio Texas
699,13,2019-11-16,NA,Sat,Syracuse,49,@,Duke,6,Wallace Wade Stadium - Durham North Carolina
700,13,2019-11-16,NA,Sat,Temple,29,NA,Tulane,21,Lincoln Financial Field - Philadelphia Pennsylvania
701,13,2019-11-16,NA,Sat,Texas A&M,30,NA,South Carolina,6,Kyle Field - College Station Texas
702,13,2019-11-16,NA,Sat,Texas Christian,33,@,Texas Tech,31,Jones AT&T Stadium - Lubbock Texas
703,13,2019-11-16,NA,Sat,Troy,63,@,Texas State,27,Bobcat Stadium - San Marcos Texas
704,13,2019-11-16,NA,Sat,Utah,49,NA,UCLA,3,Rice-Eccles Stadium - Salt Lake City Utah
705,13,2019-11-16,NA,Sat,Utah State,26,NA,Wyoming,21,Merlin Olsen Field at Maverik Stadium - Logan Utah
706,13,2019-11-16,NA,Sat,Virginia Tech,45,@,Georgia Tech,0,Bobby Dodd Stadium - Atlanta Georgia
707,13,2019-11-16,NA,Sat,Washington State,49,NA,Stanford,22,Martin Stadium - Pullman Washington
708,13,2019-11-16,NA,Sat,West Virginia,24,@,Kansas State,20,Bill Snyder Family Stadium - Manhattan Kansas
709,13,2019-11-16,NA,Sat,Wisconsin,37,@,Nebraska,21,Memorial Stadium - Lincoln Nebraska
710,14,2019-11-19,NA,Tue,Eastern Michigan,45,@,Northern Illinois,17,Huskie Stadium - DeKalb Illinois
711,14,2019-11-19,NA,Tue,Ohio,66,@,Bowling Green State,24,Doyt Perry Stadium - Bowling Green Ohio
712,14,2019-11-20,NA,Wed,Buffalo,49,NA,Toledo,30,UB Stadium - Buffalo New York
713,14,2019-11-20,NA,Wed,Miami (OH),20,NA,Akron,17,Fred Yager Stadium - Oxford Ohio
714,14,2019-11-21,NA,Thu,Georgia Tech,28,NA,North Carolina State,26,Bobby Dodd Stadium - Atlanta Georgia
715,14,2019-11-22,NA,Fri,Wyoming,17,NA,Colorado State,7,Jonah Field War Memorial Stadium - Laramie Wyoming
716,14,2019-11-23,NA,Sat,Air Force,44,@,New Mexico,22,Dreamstyle Stadium - Albuquerque New Mexico
717,14,2019-11-23,NA,Sat,Alabama,66,NA,Western Carolina,3,Bryant-Denny Stadium - Tuscaloosa Alabama
718,14,2019-11-23,NA,Sat,Alabama-Birmingham,20,NA,Louisiana Tech,14,Legion Field - Birmingham Alabama
719,14,2019-11-23,NA,Sat,Appalachian State,35,NA,Texas State,13,Kidd Brewer Stadium - Boone North Carolina
720,14,2019-11-23,NA,Sat,Arizona State,31,NA,Oregon,28,Sun Devil Stadium - Tempe Arizona
721,14,2019-11-23,NA,Sat,Arkansas State,38,NA,Georgia Southern,33,Centennial Bank Stadium - Jonesboro Arkansas
722,14,2019-11-23,NA,Sat,Auburn,52,NA,Samford,0,Jordan-Hare Stadium - Auburn Alabama
723,14,2019-11-23,NA,Sat,Baylor,24,NA,Texas,10,McLane Stadium - Waco Texas
724,14,2019-11-23,NA,Sat,Boise State,56,@,Utah State,21,Merlin Olsen Field at Maverik Stadium - Logan Utah
725,14,2019-11-23,NA,Sat,Brigham Young,56,@,Massachusetts,24,Warren McGuirk Alumni Stadium - Amherst Massachusetts
726,14,2019-11-23,NA,Sat,California,24,@,Stanford,20,Stanford Stadium - Stanford California
727,14,2019-11-23,NA,Sat,Central Florida,34,@,Tulane,31,Yulman Stadium - New Orleans Louisiana
728,14,2019-11-23,NA,Sat,Charlotte,24,NA,Marshall,13,Jerry Richardson Stadium - Charlotte North Carolina
729,14,2019-11-23,NA,Sat,Cincinnati,15,NA,Temple,13,Nippert Stadium - Cincinnati Ohio
730,14,2019-11-23,NA,Sat,Colorado,20,NA,Washington,14,Folsom Field - Boulder Colorado
731,14,2019-11-23,NA,Sat,East Carolina,31,@,Connecticut,24,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
732,14,2019-11-23,NA,Sat,Florida Atlantic,40,@,Texas-San Antonio,26,Alamodome - San Antonio Texas
733,14,2019-11-23,NA,Sat,Florida International,30,NA,Miami (FL),24,Riccardo Silva Stadium - Miami Florida
734,14,2019-11-23,NA,Sat,Georgia,19,NA,Texas A&M,13,Sanford Stadium - Athens Georgia
735,14,2019-11-23,NA,Sat,Georgia State,28,NA,South Alabama,15,Georgia State Stadium - Atlanta Georgia
736,14,2019-11-23,NA,Sat,Hawaii,14,NA,San Diego State,11,Aloha Stadium - Honolulu Hawaii
737,14,2019-11-23,NA,Sat,Houston,24,@,Tulsa,14,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
738,14,2019-11-23,NA,Sat,Iowa,19,NA,Illinois,10,Kinnick Stadium - Iowa City Iowa
739,14,2019-11-23,NA,Sat,Iowa State,41,NA,Kansas,31,Jack Trice Stadium - Ames Iowa
740,14,2019-11-23,NA,Sat,Kansas State,30,@,Texas Tech,27,Jones AT&T Stadium - Lubbock Texas
741,14,2019-11-23,NA,Sat,Kent State,41,NA,Ball State,38,Dix Stadium - Kent Ohio
742,14,2019-11-23,NA,Sat,Kentucky,50,NA,Tennessee-Martin,7,Kroger Field - Lexington Kentucky
743,14,2019-11-23,NA,Sat,Louisiana,53,NA,Troy,3,Cajun Field - Lafayette Louisiana
744,14,2019-11-23,NA,Sat,Louisiana State,56,NA,Arkansas,20,Tiger Stadium - Baton Rouge Louisiana
745,14,2019-11-23,NA,Sat,Louisiana-Monroe,45,NA,Coastal Carolina,42,Malone Stadium - Monroe Louisiana
746,14,2019-11-23,NA,Sat,Louisville,56,NA,Syracuse,34,Cardinal Stadium - Louisville Kentucky
747,14,2019-11-23,NA,Sat,Memphis,49,@,South Florida,10,Raymond James Stadium - Tampa Florida
748,14,2019-11-23,NA,Sat,Michigan,39,@,Indiana,14,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
749,14,2019-11-23,NA,Sat,Michigan State,27,@,Rutgers,0,SHI Stadium - Piscataway New Jersey
750,14,2019-11-23,NA,Sat,Middle Tennessee State,38,NA,Old Dominion,17,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
751,14,2019-11-23,NA,Sat,Minnesota,38,@,Northwestern,22,Ryan Field - Evanston Illinois
752,14,2019-11-23,NA,Sat,Mississippi State,45,NA,Abilene Christian,7,Davis Wade Stadium - Starkville Mississippi
753,14,2019-11-23,NA,Sat,Navy,35,NA,Southern Methodist,28,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
754,14,2019-11-23,NA,Sat,Nebraska,54,@,Maryland,7,Capital One Field at Maryland Stadium - College Park Maryland
755,14,2019-11-23,NA,Sat,Nevada,35,@,Fresno State,28,Bulldog Stadium - Fresno California
756,14,2019-11-23,NA,Sat,Nevada-Las Vegas,38,NA,San Jose State,35,Sam Boyd Stadium - Las Vegas Nevada
757,14,2019-11-23,NA,Sat,New Mexico State,44,NA,Texas-El Paso,35,Aggie Memorial Stadium - Las Cruces New Mexico
758,14,2019-11-23,NA,Sat,North Carolina,56,NA,Mercer,7,Kenan Memorial Stadium - Chapel Hill North Carolina
759,14,2019-11-23,NA,Sat,Notre Dame,40,NA,Boston College,7,Notre Dame Stadium - South Bend Indiana
760,14,2019-11-23,NA,Sat,Ohio State,28,NA,Penn State,17,Ohio Stadium - Columbus Ohio
761,14,2019-11-23,NA,Sat,Oklahoma,28,NA,Texas Christian,24,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
762,14,2019-11-23,NA,Sat,Oklahoma State,20,@,West Virginia,13,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
763,14,2019-11-23,NA,Sat,Rice,20,NA,North Texas,14,Rice Stadium - Houston Texas
764,14,2019-11-23,NA,Sat,Southern California,52,NA,UCLA,35,Los Angeles Memorial Coliseum - Los Angeles California
765,14,2019-11-23,NA,Sat,Tennessee,24,@,Missouri,20,Memorial Stadium/Faurot Field - Columbia Missouri
766,14,2019-11-23,NA,Sat,Utah,35,@,Arizona,7,Arizona Stadium - Tucson Arizona
767,14,2019-11-23,NA,Sat,Vanderbilt,38,NA,East Tennessee State,0,Vanderbilt Stadium - Nashville Tennessee
768,14,2019-11-23,NA,Sat,Virginia,55,NA,Liberty,27,Scott Stadium - Charlottesville Virginia
769,14,2019-11-23,NA,Sat,Virginia Tech,28,NA,Pittsburgh,0,Lane Stadium - Blacksburg Virginia
770,14,2019-11-23,NA,Sat,Wake Forest,39,NA,Duke,27,BB&T Field - Winston-Salem North Carolina
771,14,2019-11-23,NA,Sat,Washington State,54,NA,Oregon State,53,Martin Stadium - Pullman Washington
772,14,2019-11-23,NA,Sat,Western Kentucky,28,@,Southern Mississippi,10,M. M. Roberts Stadium - Hattiesburg Mississippi
773,14,2019-11-23,NA,Sat,Wisconsin,45,NA,Purdue,24,Camp Randall Stadium - Madison Wisconsin
774,15,2019-11-26,NA,Tue,Northern Illinois,17,NA,Western Michigan,14,Huskie Stadium - DeKalb Illinois
775,15,2019-11-26,NA,Tue,Ohio,52,@,Akron,3,InfoCision Stadium - Akron Ohio
776,15,2019-11-28,NA,Thu,Mississippi State,21,NA,Mississippi,20,Davis Wade Stadium - Starkville Mississippi
777,15,2019-11-29,NA,Fri,Appalachian State,48,@,Troy,13,Veterans Memorial Stadium - Troy Alabama
778,15,2019-11-29,NA,Fri,Ball State,41,NA,Miami (OH),27,Scheumann Stadium - Muncie Indiana
779,15,2019-11-29,NA,Fri,Boise State,31,@,Colorado State,24,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
780,15,2019-11-29,NA,Fri,Buffalo,49,NA,Bowling Green State,7,UB Stadium - Buffalo New York
781,15,2019-11-29,NA,Fri,Central Florida,34,NA,South Florida,7,Spectrum Stadium - Orlando Florida
782,15,2019-11-29,NA,Fri,Central Michigan,49,NA,Toledo,7,Kelly/Shorts Stadium - Mount Pleasant Michigan
783,15,2019-11-29,NA,Fri,Iowa,27,@,Nebraska,24,Memorial Stadium - Lincoln Nebraska
784,15,2019-11-29,NA,Fri,Kent State,34,@,Eastern Michigan,26,Rynearson Stadium - Ypsilanti Michigan
785,15,2019-11-29,NA,Fri,Memphis,34,NA,Cincinnati,24,Liberty Bowl Memorial Stadium - Memphis Tennessee
786,15,2019-11-29,NA,Fri,Missouri,24,@,Arkansas,14,War Memorial Stadium - Little Rock Arkansas
787,15,2019-11-29,NA,Fri,South Alabama,34,NA,Arkansas State,30,Ladd-Peebles Stadium - Mobile Alabama
788,15,2019-11-29,NA,Fri,Texas,49,NA,Texas Tech,24,Darrell K Royal-Texas Memorial Stadium - Austin Texas
789,15,2019-11-29,NA,Fri,Virginia,39,NA,Virginia Tech,30,Scott Stadium - Charlottesville Virginia
790,15,2019-11-29,NA,Fri,Washington,31,NA,Washington State,13,Husky Stadium - Seattle Washington
791,15,2019-11-29,NA,Fri,West Virginia,20,@,Texas Christian,17,Amon G. Carter Stadium - Fort Worth Texas
792,15,2019-11-30,NA,Sat,Air Force,20,NA,Wyoming,6,Falcon Stadium - Colorado Springs Colorado
793,15,2019-11-30,NA,Sat,Alabama-Birmingham,26,@,North Texas,21,Apogee Stadium - Denton Texas
794,15,2019-11-30,NA,Sat,Arizona State,24,NA,Arizona,14,Sun Devil Stadium - Tempe Arizona
795,15,2019-11-30,NA,Sat,Auburn,48,NA,Alabama,45,Jordan-Hare Stadium - Auburn Alabama
796,15,2019-11-30,NA,Sat,Baylor,61,@,Kansas,6,David Booth Kansas Memorial Stadium - Lawrence Kansas
797,15,2019-11-30,NA,Sat,Boston College,26,@,Pittsburgh,19,Heinz Field - Pittsburgh Pennsylvania
798,15,2019-11-30,NA,Sat,California,28,@,UCLA,18,Rose Bowl - Pasadena California
799,15,2019-11-30,NA,Sat,Charlotte,38,@,Old Dominion,22,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
800,15,2019-11-30,NA,Sat,Clemson,38,@,South Carolina,3,Williams-Brice Stadium - Columbia South Carolina
801,15,2019-11-30,NA,Sat,Coastal Carolina,24,NA,Texas State,21,Brooks Stadium - Conway South Carolina
802,15,2019-11-30,NA,Sat,Duke,27,NA,Miami (FL),17,Wallace Wade Stadium - Durham North Carolina
803,15,2019-11-30,NA,Sat,Florida,40,NA,Florida State,17,Ben Hill Griffin Stadium - Gainesville Florida
804,15,2019-11-30,NA,Sat,Florida Atlantic,34,NA,Southern Mississippi,17,FAU Football Stadium - Boca Raton Florida
805,15,2019-11-30,NA,Sat,Georgia,52,@,Georgia Tech,7,Bobby Dodd Stadium - Atlanta Georgia
806,15,2019-11-30,NA,Sat,Georgia Southern,38,NA,Georgia State,10,Allen E. Paulson Stadium - Statesboro Georgia
807,15,2019-11-30,NA,Sat,Hawaii,52,NA,Army,31,Aloha Stadium - Honolulu Hawaii
808,15,2019-11-30,NA,Sat,Indiana,44,@,Purdue,41,Ross-Ade Stadium - West Lafayette Indiana
809,15,2019-11-30,NA,Sat,Kansas State,27,NA,Iowa State,17,Bill Snyder Family Stadium - Manhattan Kansas
810,15,2019-11-30,NA,Sat,Kentucky,45,NA,Louisville,13,Kroger Field - Lexington Kentucky
811,15,2019-11-30,NA,Sat,Liberty,49,NA,New Mexico State,28,Williams Stadium - Lynchburg Virginia
812,15,2019-11-30,NA,Sat,Louisiana,31,NA,Louisiana-Monroe,30,Cajun Field - Lafayette Louisiana
813,15,2019-11-30,NA,Sat,Louisiana State,50,NA,Texas A&M,7,Tiger Stadium - Baton Rouge Louisiana
814,15,2019-11-30,NA,Sat,Louisiana Tech,41,NA,Texas-San Antonio,27,Joe Aillet Stadium - Ruston Louisiana
815,15,2019-11-30,NA,Sat,Marshall,30,NA,Florida International,27,Joan C. Edwards Stadium - Huntington West Virginia
816,15,2019-11-30,NA,Sat,Michigan State,19,NA,Maryland,16,Spartan Stadium - East Lansing Michigan
817,15,2019-11-30,NA,Sat,Navy,56,@,Houston,41,TDECU Stadium - Houston Texas
818,15,2019-11-30,NA,Sat,Nevada-Las Vegas,33,@,Nevada,30,MacKay Stadium - Reno Nevada
819,15,2019-11-30,NA,Sat,North Carolina,41,@,North Carolina State,10,Carter-Finley Stadium - Raleigh North Carolina
820,15,2019-11-30,NA,Sat,Northwestern,29,@,Illinois,10,Memorial Stadium - Champaign Illinois
821,15,2019-11-30,NA,Sat,Notre Dame,45,@,Stanford,24,Stanford Stadium - Stanford California
822,15,2019-11-30,NA,Sat,Ohio State,56,@,Michigan,27,Michigan Stadium - Ann Arbor Michigan
823,15,2019-11-30,NA,Sat,Oklahoma,34,@,Oklahoma State,16,Boone Pickens Stadium - Stillwater Oklahoma
824,15,2019-11-30,NA,Sat,Oregon,24,NA,Oregon State,10,Autzen Stadium - Eugene Oregon
825,15,2019-11-30,NA,Sat,Penn State,27,NA,Rutgers,6,Beaver Stadium - University Park Pennsylvania
826,15,2019-11-30,NA,Sat,Rice,30,@,Texas-El Paso,16,Sun Bowl - El Paso Texas
827,15,2019-11-30,NA,Sat,San Diego State,13,NA,Brigham Young,3,SDCCU Stadium - San Diego California
828,15,2019-11-30,NA,Sat,San Jose State,17,NA,Fresno State,16,CEFCU Stadium - San Jose California
829,15,2019-11-30,NA,Sat,Southern Methodist,37,NA,Tulane,20,Gerald J. Ford Stadium - Dallas Texas
830,15,2019-11-30,NA,Sat,Syracuse,39,NA,Wake Forest,30,Carrier Dome - Syracuse New York
831,15,2019-11-30,NA,Sat,Temple,49,NA,Connecticut,17,Lincoln Financial Field - Philadelphia Pennsylvania
832,15,2019-11-30,NA,Sat,Tennessee,28,NA,Vanderbilt,10,Neyland Stadium - Knoxville Tennessee
833,15,2019-11-30,NA,Sat,Tulsa,49,@,East Carolina,24,Dowdy-Ficklen Stadium - Greenville North Carolina
834,15,2019-11-30,NA,Sat,Utah,45,NA,Colorado,15,Rice-Eccles Stadium - Salt Lake City Utah
835,15,2019-11-30,NA,Sat,Utah State,38,@,New Mexico,25,Dreamstyle Stadium - Albuquerque New Mexico
836,15,2019-11-30,NA,Sat,Western Kentucky,31,NA,Middle Tennessee State,26,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
837,15,2019-11-30,NA,Sat,Wisconsin,38,@,Minnesota,17,TCF Bank Stadium - Minneapolis Minnesota
838,16,2019-12-06,NA,Fri,Oregon,37,N,Utah,15,Levi's Stadium - Santa Clara California
839,16,2019-12-07,NA,Sat,Appalachian State,45,NA,Louisiana,38,Kidd Brewer Stadium - Boone North Carolina
840,16,2019-12-07,NA,Sat,Boise State,31,NA,Hawaii,10,Albertsons Stadium - Boise Idaho
841,16,2019-12-07,NA,Sat,Clemson,62,N,Virginia,17,Bank of America Stadium - Charlotte North Carolina
842,16,2019-12-07,NA,Sat,Florida Atlantic,49,NA,Alabama-Birmingham,6,FAU Football Stadium - Boca Raton Florida
843,16,2019-12-07,NA,Sat,Louisiana State,37,N,Georgia,10,Mercedes-Benz Stadium - Atlanta Georgia
844,16,2019-12-07,NA,Sat,Memphis,29,NA,Cincinnati,24,Liberty Bowl Memorial Stadium - Memphis Tennessee
845,16,2019-12-07,NA,Sat,Miami (OH),26,N,Central Michigan,21,Ford Field - Detroit Michigan
846,16,2019-12-07,NA,Sat,Ohio State,34,N,Wisconsin,21,Lucas Oil Stadium - Indianapolis Indiana
847,16,2019-12-07,NA,Sat,Oklahoma,30,N,Baylor,23,AT&T Stadium - Arlington Texas
848,17,2019-12-14,NA,Sat,Navy,31,N,Army,7,Lincoln Financial Field - Philadelphia Pennsylvania
849,18,2019-12-20,NA,Fri,Buffalo,31,N,Charlotte,9,Bahamas Bowl (Thomas A. Robinson Stadium - Nassau BHS)
850,18,2019-12-20,NA,Fri,Kent State,51,N,Utah State,41,Frisco Bowl (Toyota Stadium - Frisco Texas)
851,18,2019-12-21,NA,Sat,Appalachian State,31,N,Alabama-Birmingham,17,New Orleans Bowl (Mercedes-Benz Superdome - New Orleans Louisiana)
852,18,2019-12-21,NA,Sat,Arkansas State,34,N,Florida International,26,Camellia Bowl (Cramton Bowl - Montgomery Alabama)
853,18,2019-12-21,NA,Sat,Florida Atlantic,52,N,Southern Methodist,28,Boca Raton Bowl (FAU Football Stadium - Boca Raton Florida)
854,18,2019-12-21,NA,Sat,Liberty,23,N,Georgia Southern,16,Cure Bowl (Exploria Stadium - Orlando Florida)
855,18,2019-12-21,NA,Sat,San Diego State,48,N,Central Michigan,11,New Mexico Bowl (Dreamstyle Stadium - Albuquerque New Mexico)
856,18,2019-12-21,NA,Sat,Washington,38,N,Boise State,7,Las Vegas Bowl (Sam Boyd Stadium - Las Vegas Nevada)
857,18,2019-12-23,NA,Mon,Central Florida,48,N,Marshall,25,Gasparilla Bowl (Raymond James Stadium - Tampa Florida)
858,19,2019-12-24,NA,Tue,Hawaii,38,N,Brigham Young,34,Hawaii Bowl (Aloha Stadium - Honolulu Hawaii)
859,19,2019-12-26,NA,Thu,Louisiana Tech,14,N,Miami (FL),0,Independence Bowl (Independence Stadium - Shreveport Louisiana)
860,19,2019-12-26,NA,Thu,Pittsburgh,34,N,Eastern Michigan,30,Quick Lane Bowl (Ford Field - Detroit Michigan)
861,19,2019-12-27,NA,Fri,Air Force,31,N,Washington State,21,Cheez-It Bowl (Chase Field - Phoenix Arizona)
862,19,2019-12-27,NA,Fri,Iowa,49,N,Southern California,24,Holiday Bowl (SDCCU Stadium - San Diego California)
863,19,2019-12-27,NA,Fri,Michigan State,27,N,Wake Forest,21,Pinstripe Bowl (Yankee Stadium - New York New York)
864,19,2019-12-27,NA,Fri,North Carolina,55,N,Temple,13,Military Bowl (Navy-Marine Corps Memorial Stadium - Annapolis Maryland)
865,19,2019-12-27,NA,Fri,Texas A&M,24,N,Oklahoma State,21,Texas Bowl (NRG Stadium - Houston Texas)
866,19,2019-12-28,NA,Sat,Clemson,29,N,Ohio State,23,Fiesta Bowl (State Farm Stadium - Glendale Arizona)
867,19,2019-12-28,NA,Sat,Louisiana State,63,N,Oklahoma,28,Peach Bowl (Mercedes-Benz Stadium - Atlanta Georgia)
868,19,2019-12-28,NA,Sat,Notre Dame,33,N,Iowa State,9,Camping World Bowl (Camping World Stadium - Orlando Florida)
869,19,2019-12-28,NA,Sat,Penn State,53,N,Memphis,39,Cotton Bowl (AT&T Stadium - Arlington Texas)
870,20,2019-12-30,NA,Mon,California,35,N,Illinois,20,Redbox Bowl (Levi's Stadium - Santa Clara California)
871,20,2019-12-30,NA,Mon,Florida,36,N,Virginia,28,Orange Bowl (Hard Rock Stadium - Miami Gardens Florida)
872,20,2019-12-30,NA,Mon,Louisville,38,N,Mississippi State,28,Music City Bowl (Nissan Stadium - Nashville Tennessee)
873,20,2019-12-30,NA,Mon,Western Kentucky,23,N,Western Michigan,20,First Responder Bowl (Gerald J. Ford Stadium - Dallas Texas)
874,21,2019-12-31,NA,Tue,Arizona State,20,N,Florida State,14,Sun Bowl (Sun Bowl - El Paso Texas)
875,21,2019-12-31,NA,Tue,Kentucky,37,N,Virginia Tech,30,Belk Bowl (Bank of America Stadium - Charlotte North Carolina)
876,21,2019-12-31,NA,Tue,Navy,20,N,Kansas State,17,Liberty Bowl (Liberty Bowl Memorial Stadium - Memphis Tennessee)
877,21,2019-12-31,NA,Tue,Texas,38,N,Utah,10,Alamo Bowl (Alamodome - San Antonio Texas)
878,21,2019-12-31,NA,Tue,Wyoming,38,N,Georgia State,17,Arizona Bowl (Arizona Stadium - Tucson Arizona)
879,21,2020-01-01,NA,Wed,Alabama,35,N,Michigan,16,Citrus Bowl (Camping World Stadium - Orlando Florida)
880,21,2020-01-01,NA,Wed,Georgia,26,N,Baylor,14,Sugar Bowl (Mercedes-Benz Superdome - New Orleans Louisiana)
881,21,2020-01-01,NA,Wed,Minnesota,31,N,Auburn,24,Outback Bowl (Raymond James Stadium - Tampa Florida)
882,21,2020-01-01,NA,Wed,Oregon,28,N,Wisconsin,27,Rose Bowl (Rose Bowl - Pasadena California)
883,21,2020-01-02,NA,Thu,Cincinnati,38,N,Boston College,6,Birmingham Bowl (Legion Field - Birmingham Alabama)
884,21,2020-01-02,NA,Thu,Tennessee,23,N,Indiana,22,Gator Bowl (TIAA Bank Field - Jacksonville Florida)
885,21,2020-01-03,NA,Fri,Ohio,30,N,Nevada,21,Famous Idaho Potato Bowl (Albertsons Stadium - Boise Idaho)
886,21,2020-01-04,NA,Sat,Tulane,30,N,Southern Mississippi,13,Armed Forces Bowl (Amon G. Carter Stadium - Fort Worth Texas)
887,21,2020-01-06,NA,Mon,Louisiana,27,N,Miami (OH),17,LendingTree Bowl (Ladd-Peebles Stadium - Mobile Alabama)
888,22,2020-01-13,NA,Mon,Louisiana State,42,N,Clemson,25,College Football Championship (Mercedes-Benz Superdome - New Orleans Louisiana)
